PostalCode,Borough,Neighborhood,Latitude,Longitude
M3A,North York,Parkwoods,43.74997500000006,-79.32759984899997
M4A,North York,Victoria Village,43.730638439000074,-79.31296499999996
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.65512000000007,-79.36263979699999
M6A,North York,"Lawrence Manor, Lawrence Heights",43.72328500000003,-79.45099134699996
M7A,Queen's Park,Ontario Provincial Government,43.66188604900003,-79.39171499999998
M9A,Etobicoke,Islington Avenue,43.66263166700003,-79.52830499999999
M1B,Scarborough,"Malvern, Rouge",43.81185500000004,-79.19671881899995
M3B,North York,Don Mills North,43.74945000000008,-79.36160130099995
M4B,East York,"Parkview Hill, Woodbine Gardens",43.70731500000005,-79.31172543399998
M5B,Downtown Toronto,"Garden District, Ryerson",43.65749071400006,-79.37849499999999
M6B,North York,Glencairn,43.70686500000005,-79.44897611699997
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.650328570000056,-79.55370999999997
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.785615000000064,-79.15870501499995
M3C,North York,Don Mills South,43.72171000000003,-79.34357515299996
M4C,East York,Woodbine Heights,43.69068500000003,-79.30728784699994
M5C,Downtown Toronto,St. James Town,43.65190000000007,-79.37573579699995
M6C,York,Humewood-Cedarvale,43.692072705000044,-79.43051499999996
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.648573449000025,-79.57824999999997
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.76574500000004,-79.17469666799997
M4E,East Toronto,The Beaches,43.67656631800003,-79.29566999999997
M5E,Downtown Toronto,Berczy Park,43.64516306500008,-79.37355999999994
M6E,York,Caledonia-Fairbanks,43.68787535200005,-79.45025999999996
M1G,Scarborough,Woburn,43.77144000000004,-79.21499177499999
M4G,East York,Leaside,43.70976500000006,-79.36400269699999
M5G,Downtown Toronto,Central Bay Street,43.65609081300005,-79.38492999999994
M6G,Downtown Toronto,Christie,43.66869349500007,-79.42070999999999
M1H,Scarborough,Cedarbrae,43.769286366000074,-79.23854499999999
M2H,North York,Hillcrest Village,43.80224500000003,-79.35708874599999
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.75787500000007,-79.44847181499995
M4H,East York,Thorncliffe Park,43.701415000000054,-79.34932180299995
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.649910000000034,-79.38295853799997
M6H,West Toronto,"Dufferin, Dovercourt Village",43.66480846300004,-79.43903999999998
M1J,Scarborough,Scarborough Village,43.74450000000007,-79.23144583299995
M2J,North York,"Fairview, Henry Farm, Oriole",43.780800000000056,-79.34814713099996
M3J,North York,"Northwood Park, York University",43.76469000000003,-79.48748808599998
M4J,East York/East Toronto,The Danforth  East,43.68811320300006,-79.33417499999996
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.64324708800007,-79.38061499999998
M6J,West Toronto,"Little Portugal, Trinity",43.64873000000006,-79.41783677199999
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.72465886500004,-79.26504999999997
M2K,North York,Bayview Village,43.77949000000007,-79.38049739299998
M3K,North York,Downsview East,43.733934083000065,-79.46827999999994
M4K,East Toronto,"The Danforth West, Riverdale",43.68284243200003,-79.35760999999997
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.64711500000004,-79.38143270099994
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.639410000000055,-79.42436201999999
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.712642051000046,-79.28505499999994
